content_id,client_id,baseline_rank,baseline_refresh_score,visibility_score,freshness_risk_score,position_opportunity_score,depth_gap_score,reason_codes,suggested_action_baseline,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,scroll_rate,content_age_days,days_since_last_update,word_count,trend_direction
content_9532f197bbc8,client_4e07408562,1,0.9411888493764173,0.9996333333333334,0.8432,0.9792326530612245,0.8713470555555556,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,309192,2689,1098,2.0,0.87,8.01,28.75,445,104,0.0,down
content_4d1fe5b32dc2,client_19581e27de,2,0.9348890121882086,0.9941666666666666,0.8432,0.9637329931972789,0.8665819444444445,page_one_decay_risk|low_engagement_visible_page,monitor,0,97999,512,549,2.5,0.52,7.47,13.15,329,104,0.0,stable
content_07f2e7a6f38a,client_19581e27de,3,0.9340800293650795,0.9944666666666667,0.8432,0.959964761904762,0.8668434444444445,page_one_decay_risk|low_engagement_visible_page,monitor,0,101078,856,780,2.7,0.85,2.05,4.6,313,104,0.0,stable
content_e5ae436f9a16,client_4e07408562,4,0.9336057346938775,0.996,0.8432,0.9553469387755101,0.8681800000000001,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,117741,533,522,3.0,0.45,7.09,12.6,421,104,0.0,stable
content_3430a8b94511,client_19581e27de,5,0.9335585836167799,0.9981666666666666,0.8432,0.9513139455782312,0.8700686111111111,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,152617,440,534,3.3,0.29,6.18,11.04,329,104,0.0,stable
content_cbd93118300b,client_19581e27de,6,0.933263115873016,0.9977333333333334,0.8432,0.9509009523809524,0.8696908888888889,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,145292,662,535,3.3,0.46,1.87,5.38,313,104,0.0,down
content_9c195417f6ef,client_19581e27de,7,0.9329912717687074,0.9914,0.8432,0.9610510204081631,0.8641703333333334,page_one_decay_risk|low_engagement_visible_page,monitor,0,79146,574,515,2.5,0.73,1.55,2.79,313,104,0.0,stable
content_ba2acb4ebd04,client_19581e27de,8,0.9316225866780046,0.9975666666666667,0.8432,0.9446345578231293,0.8695456111111112,page_one_decay_risk|low_engagement_visible_page,monitor,0,142072,1185,1147,3.6,0.83,1.92,5.08,362,104,0.0,stable
content_79b25654070a,client_19581e27de,9,0.9313628869614512,0.9979333333333333,0.8432,0.9429451700680272,0.8698652222222223,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,148737,711,619,3.7,0.48,2.26,3.46,257,104,0.0,stable
content_adddad39251c,client_19581e27de,10,0.9311236867913832,0.9968333333333333,0.8432,0.9439401360544218,0.8689063888888889,page_one_decay_risk|low_engagement_visible_page,monitor,0,129239,711,688,3.6,0.55,3.92,6.32,329,104,0.0,stable
content_8dacab06e291,client_19581e27de,11,0.9310329777210884,0.9967,0.8432,0.9438138775510204,0.8687901666666668,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,127907,439,381,3.6,0.34,0.26,3.33,313,104,0.0,stable
content_01908772c6db,client_19581e27de,12,0.9304006689909297,0.9987666666666667,0.8432,0.93761768707483,0.8705916111111112,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,187893,845,782,4.0,0.45,1.53,3.67,313,104,0.0,down
content_5fe46e04994d,client_4e07408562,13,0.9302168027210884,1.0,0.8432,0.9346938775510204,0.8716666666666667,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,517715,741,520,4.2,0.14,4.23,26.9,537,104,0.0,down
content_6f81ccd92b64,client_19581e27de,14,0.9301245428004534,0.9901666666666666,0.8432,0.9517724489795918,0.8630952777777778,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,73675,138,136,2.9,0.19,2.94,3.16,257,104,0.0,stable
content_c1350d507c68,client_19581e27de,15,0.930118325170068,0.9976,0.8432,0.9385583673469388,0.8695746666666667,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,142505,417,398,3.9,0.29,1.01,1.85,313,104,0.0,down
content_2c2606c5d176,client_19581e27de,16,0.9300587761337868,0.9997666666666667,0.8432,0.9344757823129252,0.8714632777777779,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,347399,1854,2146,4.2,0.53,1.3,3.28,362,104,0.0,down
content_9351f948bf45,client_19581e27de,17,0.9300584018140589,0.9834666666666667,0.8432,0.963395918367347,0.8572551111111112,page_one_decay_risk|low_engagement_visible_page,monitor,0,51233,450,386,2.0,0.88,1.81,4.87,313,104,0.0,stable
content_37106924f264,client_4e07408562,18,0.9295290663265305,0.993,0.8432,0.9443632653061224,0.865565,page_one_decay_risk|low_engagement_visible_page,monitor,0,89311,904,922,3.4,1.01,12.04,19.87,390,104,0.0,stable
content_f4c93868660b,client_4e07408562,19,0.9293019535147392,0.9926666666666667,0.8432,0.9440462585034014,0.8652744444444445,page_one_decay_risk|low_engagement_visible_page,monitor,0,87433,776,709,3.4,0.89,7.76,14.88,421,104,0.0,stable
content_8818fd6d967f,client_4e07408562,20,0.9290067068594103,0.9922333333333333,0.8432,0.9436341496598639,0.8648967222222222,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,83603,886,841,3.4,1.06,7.61,10.2,487,104,0.0,down
content_140e1efff17e,client_19581e27de,21,0.9289876634920634,0.9797333333333333,0.8432,0.965737142857143,0.8540008888888889,page_one_decay_risk|low_engagement_visible_page,monitor,0,44437,229,217,1.7,0.52,5.99,7.87,330,104,0.0,stable
content_bb5bd5f771dc,client_19581e27de,22,0.9287817116213152,0.9986333333333334,0.8432,0.9313784353741497,0.870475388888889,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,176296,414,536,4.3,0.23,0.93,3.12,236,104,0.0,stable
