final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
1,content_1f080331fa2b,client_3fdba35f04,81.92846726727652,random_forest,0.7862466719906576,0.844481250521542,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,12834,6,66,6.8,0.05,165,104,1404.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,good,page_1
2,content_6aa43079fb0c,client_3fdba35f04,81.72844884846914,random_forest,0.7921166064815194,0.825477128595238,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8064,6,23,3.8,0.07,139,104,1457.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
3,content_d6570c51c9bd,client_3fdba35f04,81.63911826238848,random_forest,0.8503540762418751,0.6958839136904761,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2498,0,9,10.1,0.0,165,104,1362.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
4,content_e04eb9549989,client_3fdba35f04,80.80498632376796,random_forest,0.8138304924830199,0.7494675090918368,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3393,3,5,3.6,0.09,131,104,1408.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
5,content_72e800a9c214,client_3fdba35f04,80.801529856656,random_forest,0.7710366501742609,0.8425452355657596,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,13790,16,27,8.2,0.12,139,104,1371.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
6,content_9b6df29f7889,client_3fdba35f04,80.75257798335151,random_forest,0.8479546733531959,0.67353048075,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1622,2,20,3.1,0.12,139,104,1415.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
7,content_b69288c5e701,client_3fdba35f04,80.63237199062961,random_forest,0.7939641893641167,0.787357519399093,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,5811,4,14,6.4,0.07,144,104,1370.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
8,content_ba6f9dfcbca1,client_3fdba35f04,80.439403198592,random_forest,0.8275922066875365,0.7081283945719954,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,4366,4,8,20.1,0.09,124,104,1362.0,down,HIGH,keyword article,transactional,91-180,91-180,1000-2000,good,page_3_5
9,content_b1d593faf9c6,client_3fdba35f04,80.2043252760719,random_forest,0.823993484174732,0.7086520196394558,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2655,0,92,8.3,0.0,148,104,1333.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_1
10,content_bb6ebb5ec8c8,client_3fdba35f04,80.14680791720149,random_forest,0.8314322507259846,0.6906645848151928,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2621,0,10,12.8,0.0,144,104,1381.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
